,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code
0,Queens Road,1675000,House,2716,5,5,5,Wimbledon,London,SW19 8NY
1,Seward Street,650000,Flat / Apartment,814,2,2,2,Clerkenwell,London,EC1V 3PA
2,Hotham Road,735000,Flat / Apartment,761,2,2,2,Putney,London,SW15 1QL
3,Festing Road,1765000,House,1986,4,4,4,Putney,London,SW15 1LP
4,Spencer Walk,675000,Flat / Apartment,700,2,2,2,Putney,London,SW15 1PL
5,Craven Hill Gardens,420000,Flat / Apartment,403,1,1,1,,London,W2 3EA
6,Alfriston Road,1475000,House,1548,4,4,4,,London,SW11 6NW
7,Bishops Gate,650000,New development,560,1,1,1, Fulham,London,SW6 3LF
8,Adam & Eve Mews,2500000,House,1308,3,3,3,,London,W8 6UG
9,Hornton Street,925000,Flat / Apartment,646,2,2,2,,London,W8 4NT
10,Drakefield Road,2400000,House,3392,6,6,6,,London,SW17 8RR
11,Cromwell Avenue,2500000,House,2974,6,6,6,Highgate,London,N6 5HQ
12,Ashley Park Avenue,2795000,House,5294,5,5,5,Walton-on-Thames,Surrey,KT12 1ER
13,Grove End House,725000,Flat / Apartment,778,2,2,2, St. John's Wood,London,NW8 9HP
14,Abercorn Mansions,750000,Flat / Apartment,647,2,2,2,17 Abercorn Place,London,NW8 9DY
15,Chester Terrace,12500000,House,4596,6,6,6,Regents Park,London,NW1 4ND
16,Cambridge Park,1450000,Flat / Apartment,1702,3,3,3,,Twickenham,TW1 2PF
17,Hazelwood Lane,1250000,House,3503,6,6,6, Coulsdon,Surrey,CR5 3QW
18,Elsworthy Rise,2275000,New development,1173,3,3,3,Primrose Hill,London,NW3 3DS
19,St. Anns Road,1075000,Duplex,865,2,2,2,,Holland Park,W11 4SR
20,Clapham Road,500000,Flat / Apartment,597,1,1,1,,London,SW9 9BT
21,Devonshire Close,5500000,House,3016,4,4,4,Marylebone,London,W1G 7BA
22,The Draycott,8950000,New development,3154,4,4,4,10 Draycott Avenue,London,SW3 3AA
23,Campden Hill Gardens,1175000,Flat / Apartment,765,2,2,2,,London,W8 7AX
24,College Cross,550000,Flat / Apartment,479,1,1,1,Islington,London,N1 1PT
25,St Mary's Grove,1300000,House,1101,3,3,3, Islington,London,N1 2NT
26,Goldhurst Terrace,800000,Flat / Apartment,1177,3,3,3,South Hampstead,London,NW6 3HR
27,Upper Park Road,3500000,House,2331,4,4,4,Belsize Park,London,NW3 2UP
28,Ditton Grove,374950,New development,664,2,2,2,Esher,Surrey,KT10 9FN
29,Roymount Court,400000,Flat / Apartment,805,2,2,2, Surbiton,Surrey,KT6 6NW
30,Wetherby House,1100000,Flat / Apartment,582,2,2,2,20-21 Wetherby Gardens,London,SW5 0JP
31,Fernside Road,1200000,House,1494,4,4,4,,London,SW12 8LJ
32,Telford Avenue,1250000,House,1507,4,4,4,,London,SW2 4XF
33,Telford Avenue,695000,Flat / Apartment,945,3,3,3,,London,SW2 4XQ
34,Stile Hall Gardens,1735000,House,2118,4,4,4,Chiswick,London,W4 3BS
35,Wavendon Avenue,2350000,House,2297,5,5,5,Chiswick,London,W4 4NR
36,Duke Road,1200000,House,1351,4,4,4,Chiswick,London,W4 2BA
37,Hobury Street,975000,Flat / Apartment,749,2,2,2,,London,SW10 0JB
38,Maltings Close,850000,House,1177,3,3,3,Barnes,London,SW13 0NL
